name,value,year,last value,rank
Game of Thrones,217623,1,217623,0
Call of Duty: Modern Warfare,105240,1,105240,1
The Boys,97560,1,97560,2
Fortnite,96281,1,96281,3
Fast & Furious Presents: Hobbs & Shaw,77699,1,77699,4
Marvel's Thor: Love and Thunder,66752,1,66752,5
Carnival Row,48766,1,48766,6
Madden NFL 20,34755,1,34755,7
Avengers: Endgame,25090,1,25090,8
Other,21583,1,21583,9
Avengers: Endgame,452994,2,25090,0
Game of Thrones,234452,2,217623,1
Call of Duty: Modern Warfare,213229,2,105240,2
Fast & Furious Presents: Hobbs & Shaw,158629,2,77699,3
Fortnite,151097,2,96281,4
The Boys,135744,2,97560,5
The Lion King,135361,2,#N/A,6
Carnival Row,94284,2,48766,7
Sonic the Hedgehog: The Movie,89326,2,#N/A,8
Marvel's Thor: Love and Thunder,76160,2,66752,9
Avengers: Endgame,623402,3,452994,0
Call of Duty: Modern Warfare,264064,3,213229,1
Fortnite,247367,3,151097,2
Game of Thrones,242270,3,234452,3
Fast & Furious Presents: Hobbs & Shaw,208632,3,158629,4
The Lion King,204684,3,135361,5
Sonic the Hedgehog: The Movie,193059,3,89326,6
The Boys,148489,3,135744,7
Carnival Row,108644,3,94284,8
Madden NFL 20,96128,3,#N/A,9
Avengers: Endgame,665930,4,623402,0
Call of Duty: Modern Warfare,283185,4,264064,1
Fortnite,274833,4,247367,2
Fast & Furious Presents: Hobbs & Shaw,251495,4,208632,3
Game of Thrones,249509,4,242270,4
The Lion King,230729,4,204684,5
Sonic the Hedgehog: The Movie,229840,4,193059,6
The Boys,174944,4,148489,7
Arrow,154018,4,#N/A,8
Carnival Row,125168,4,108644,9
Arrow,978565,5,154018,0
Avengers: Endgame,684452,5,665930,1
Call of Duty: Modern Warfare,293270,5,283185,2
Fortnite,284221,5,274833,3
Fast & Furious Presents: Hobbs & Shaw,268528,5,251495,4
Game of Thrones,253666,5,249509,5
Sonic the Hedgehog: The Movie,251931,5,229840,6
The Lion King,240147,5,230729,7
The Boys,233897,5,174944,8
Marvel's Jessica Jones,220539,5,220539,9
Arrow,1252465,6,978565,0
Avengers: Endgame,693593,6,684452,1
Call of Duty: Modern Warfare,347053,6,293270,2
Fast & Furious Presents: Hobbs & Shaw,317597,6,268528,3
Fortnite,288332,6,284221,4
Sonic the Hedgehog: The Movie,258249,6,251931,5
Game of Thrones,256281,6,253666,6
