name,value,year,last value,rank
Game of Thrones,217623,1,217623,0
Call of Duty: Modern Warfare,105240,1,105240,1
The Boys,97560,1,97560,2
Fortnite,96281,1,96281,3
Ghostbusters: The Video Game Remastered,91208,1,91208,4
Fast & Furious Presents: Hobbs & Shaw,77699,1,77699,5
Marvel's Thor: Love and Thunder,66752,1,66752,6
Carnival Row,48766,1,48766,7
Mario Tennis Aces,48547,1,48547,8
Super Smash Bros. Ultimate,35449,1,35449,9
Avengers: Endgame,427904,2,#N/A,0
The Lion King,130589,2,#N/A,1
Call of Duty: Modern Warfare,107989,2,105240,2
Sonic the Hedgehog: The Movie,89201,2,#N/A,3
Tenet,82450,2,#N/A,4
Fast & Furious Presents: Hobbs & Shaw,80930,2,77699,5
The Outer Worlds,67512,2,#N/A,6
Fortnite,54816,2,96281,7
Halo: The Series,48396,2,#N/A,8
Carnival Row,45518,2,48766,9
Avengers: Endgame,170408,3,427904,0
Sonic the Hedgehog: The Movie,103733,3,89201,1
Fortnite,96270,3,54816,2
The Lion King,69323,3,130589,3
Call of Duty: Modern Warfare,50835,3,107989,4
Fast & Furious Presents: Hobbs & Shaw,50003,3,80930,5
The Outer Worlds,28630,3,67512,6
Madden NFL 20,28413,3,#N/A,7
Tenet,21922,3,82450,8
Green Room,19721,3,#N/A,9
Arrow,116112,4,#N/A,0
The 100,53070,4,#N/A,1
Fast & Furious Presents: Hobbs & Shaw,42863,4,50003,2
Avengers: Endgame,42528,4,170408,3
Sonic the Hedgehog: The Movie,36781,4,103733,4
Fortnite,27466,4,96270,5
The Boys,26455,4,#N/A,6
The Lion King,26045,4,69323,7
Madden NFL 20,23198,4,28413,8
Dragon Ball FighterZ,20908,4,20908,9
Arrow,824547,5,116112,0
Marvel's Jessica Jones,212891,5,#N/A,1
WWE 2K20,152272,5,#N/A,2
X-Men,98710,5,#N/A,3
Borderlands 3,76945,5,#N/A,4
Marvel's Thor: Love and Thunder,69331,5,#N/A,5
The OA,65938,5,#N/A,6
The Boys,58953,5,26455,7
Grand Theft Auto V,55566,5,#N/A,8
Pokemon Trading Card Game,54593,5,54593,9
Arrow,273900,6,824547,0
Gears 5,117306,6,#N/A,1
Decay of Logos,91669,6,#N/A,2
Titans,89686,6,#N/A,3
Marvel's Black Widow,83721,6,#N/A,4
Venom 2,74965,6,#N/A,5
Pokemon Trading Card Game,68054,6,54593,6
