name,value,year,last value,rank
The Witcher,2792040,1,2792040,0
Spider-Man: Far From Home,112734,1,112734,1
Stranger Things,105488,1,105488,2
Avengers: Endgame,100992,1,100992,3
Jaws,69433,1,69433,4
Marvel's Jessica Jones,59836,1,59836,5
SpongeBob SquarePants,58027,1,58027,6
Jumanji: The Next Level,52187,1,52187,7
NBA 2K20,49004,1,49004,8
Borderlands 3,44691,1,44691,9
The Witcher,643963,2,2792040,0
The Lion King,404780,2,#N/A,1
The Walking Dead,227046,2,#N/A,2
Marvel's Spider-Man,179560,2,#N/A,3
Spider-Man: Far From Home,164988,2,112734,4
Detroit: Become Human,80419,2,#N/A,5
Cyberpunk 2077,79392,2,#N/A,6
Stranger Things,44456,2,105488,7
Superman,33673,2,#N/A,8
Baldur's Gate III,33242,2,#N/A,9
The Walking Dead,343825,3,227046,0
Spider-Man: Far From Home,243304,3,164988,1
Star Wars Jedi: Fallen Order,172239,3,#N/A,2
The Walking Dead #193,146434,3,#N/A,3
The Witcher,105970,3,643963,4
The Little Mermaid,93943,3,#N/A,5
Stranger Things,79869,3,44456,6
Carl Grimes,79186,3,#N/A,7
Sea of Solitude,68944,3,#N/A,8
J.R.R. Tolkien's The Lord of the Rings Project,63513,3,#N/A,9
Spider-Man: Far From Home,303951,4,243304,0
Stranger Things,275408,4,79869,1
James Bond 25,104929,4,#N/A,2
The Walking Dead,69378,4,343825,3
Cruis'n USA,65324,4,#N/A,4
The Witcher,52690,4,105970,5
Midsommar,44924,4,#N/A,6
The Walking Dead #193,35940,4,146434,7
Star Wars Jedi: Fallen Order,29663,4,172239,8
Monster Hunter World: Iceborne,27904,4,27904,9
Spider-Man: Far From Home,237983,5,303951,0
The Witcher,209312,5,52690,1
Stranger Things,203707,5,275408,2
The Legend of Zelda: Breath of the Wild,120112,5,#N/A,3
Sea of Solitude,78288,5,#N/A,4
Akira,41753,5,#N/A,5
His Dark Materials,32317,5,#N/A,6
Cruis'n USA,25694,5,65324,7
Pro Evolution Soccer 2019,20255,5,#N/A,8
James Bond 25,18975,5,18975,9
Spider-Man: Far From Home,309761,6,237983,0
Stranger Things,208224,6,203707,1
The Witcher,174817,6,209312,2
Stranger Things 3: The Game,65749,6,#N/A,3
The Legend of Zelda: Breath of the Wild,48957,6,120112,4
My Hero Academia,45203,6,#N/A,5
Stranger Things: Season 3,44965,6,#N/A,6
Sea of Solitude,33267,6,78288,7
Pokemon,29535,6,#N/A,8
Jaws (Universal 100th Anniversary) (Blu-ray + DVD + Digital Copy),27614,6,#N/A,9
Marvel's Jessica Jones,657877,7,#N/A,0
Spider-Man: Far From Home,487692,7,309761,1
Stranger Things,197185,7,208224,2
Mulan,102718,7,#N/A,3
The Witcher,83612,7,174817,4
Stranger Things 3: The Game,71621,7,65749,5
Mulan [Jan de Bont Version],61475,7,#N/A,6
My Hero Academia,58065,7,45203,7
Stranger Things: Season 3,49598,7,44965,8
Joker,46068,7,#N/A,9
Spider-Man: Far From Home,366773,8,487692,0
Pokemon Sword,338869,8,#N/A,1
Stranger Things,273821,8,197185,2
Marvel's Jessica Jones,253104,8,657877,3
Batman: Arkham Knight,111942,8,#N/A,4
Joker,68453,8,46068,5
The Witcher,53144,8,83612,6
Control,50229,8,#N/A,7
Grand Theft Auto V,43639,8,#N/A,8
Saw,43455,8,#N/A,9
Spider-Man: Far From Home,282479,9,366773,0
Stranger Things,151870,9,273821,1
Pokemon Sword,122891,9,338869,2
Game of Thrones: The Long Night,102338,9,#N/A,3
Pokemon Trading Card Game,70409,9,#N/A,4
Grand Theft Auto V,66738,9,43639,5
My Hero Academia,65075,9,#N/A,6
Star Wars Jedi: Fallen Order,57212,9,#N/A,7
One-Punch Man,56764,9,#N/A,8
SolSeraph,51992,9,#N/A,9
Nintendo Switch,397349,10,#N/A,0
Nintendo Switch Lite,160328,10,#N/A,1
Final Fantasy VII Remake,89564,10,#N/A,2
Spider-Man: Far From Home,85534,10,282479,3
The Lion King,80769,10,#N/A,4
Guardians of the Galaxy Vol. 3,77542,10,#N/A,5
Stranger Things,72894,10,151870,6
Star Wars: The Rise of Skywalker,70671,10,#N/A,7
Pokemon Sword,69097,10,122891,8
The Witcher,62468,10,#N/A,9
Sonic the Hedgehog: The Movie,316005,11,#N/A,0
Nintendo Switch Lite,204595,11,160328,1
The Lion King,203735,11,80769,2
Guardians of the Galaxy Vol. 3,146047,11,77542,3
Spider-Man: Far From Home,104297,11,85534,4
Final Fantasy VII Remake,91184,11,89564,5
Call of Duty: Modern Warfare,77346,11,#N/A,6
Avengers: Endgame,64583,11,#N/A,7
Stranger Things,63136,11,72894,8
Crawl,59200,11,#N/A,9
Stranger Things,364738,12,63136,0
Nintendo Switch Lite,212820,12,204595,1
Spider-Man 4,185825,12,#N/A,2
Spider-Man: Far From Home,162913,12,104297,3
Crawl,100080,12,59200,4
Star Wars: The Rise of Skywalker,94312,12,#N/A,5
Sonic the Hedgehog: The Movie,91372,12,316005,6
Power Rangers,75850,12,#N/A,7
Mortal Kombat,69160,12,#N/A,8
Fire Emblem: Three Houses,60674,12,#N/A,9
Spider-Man 4,302318,13,185825,0
Stranger Things,262980,13,364738,1
Spider-Man: Far From Home,160080,13,162913,2
Nintendo Switch Lite,79364,13,212820,3
Final Fantasy XIV Online: Shadowbringers,60759,13,#N/A,4
Avengers: Infinity War,56965,13,#N/A,5
Control,35378,13,#N/A,6
Crawl,31870,13,100080,7
Watch Dogs Legion,29212,13,#N/A,8
Star Wars: The Rise of Skywalker,27867,13,94312,9
