name,value,year,last value,rank
Godzilla: King of the Monsters,189370,1,189370,0
Dauntless,117394,1,117394,1
Batman [2016 - Current],115414,1,115414,2
Swamp Thing,115225,1,115225,3
The Batman,76769,1,76769,4
Avengers: Endgame,73894,1,73894,5
Mass Effect 3,72020,1,72020,6
Game of Thrones,62647,1,62647,7
Call of Duty,43069,1,43069,8
Mortal Kombat 11,41049,1,41049,9
Godzilla: King of the Monsters,129684,2,189370,0
Game of Thrones,101526,2,62647,1
Cuphead,90062,2,#N/A,2
Fallout 76,73623,2,#N/A,3
Swamp Thing,60518,2,115225,4
Cyberpunk 2077,60094,2,#N/A,5
Batman [2016 - Current],56652,2,115414,6
Avengers: Endgame,47501,2,73894,7
Dauntless,43388,2,117394,8
Good Omens,37991,2,#N/A,9
Godzilla: King of the Monsters,253104,3,129684,0
Good Omens,66074,3,37991,1
Bethesda  Softworks,56568,3,#N/A,2
Apple,54547,3,#N/A,3
Outer Wilds,52375,3,#N/A,4
Control,51599,3,#N/A,5
Thor: The Dark World,42573,3,#N/A,6
Game of Thrones,39579,3,101526,7
Fallout 76,35233,3,73623,8
Chernobyl: The Mini-Series,33871,3,#N/A,9
Final Fantasy VII Remake,225652,4,#N/A,0
SEGA Mega Drive Mini,140550,4,#N/A,1
Blasphemous,137628,4,#N/A,2
Stranger Things: Season 3,111470,4,#N/A,3
Swamp Thing,88609,4,#N/A,4
Chernobyl: The Mini-Series,87050,4,33871,5
Godzilla: King of the Monsters,81710,4,253104,6
Dark Phoenix,70131,4,#N/A,7
The Rook,64538,4,#N/A,8
Immortal Hulk [2018],56532,4,56532,9
Pokemon Sword,797043,5,#N/A,0
Dark Phoenix,388973,5,70131,1
Pokemon Shield,359440,5,#N/A,2
Black Mirror,145846,5,#N/A,3
The Walking Dead #192,131341,5,#N/A,4
PlayStation 5,84372,5,#N/A,5
Wonder Woman 1984,73120,5,#N/A,6
Game of Thrones,54958,5,#N/A,7
Beyond Good & Evil 2,53663,5,#N/A,8
DCeased,51893,5,51893,9
Marvel's Jessica Jones,523797,6,#N/A,0
Swamp Thing,328372,6,#N/A,1
Google Stadia,148431,6,#N/A,2
Dark Phoenix,110629,6,388973,3
Pokemon Sword,99612,6,797043,4
Destiny 2,98671,6,#N/A,5
Star Wars Jedi: Fallen Order,97668,6,#N/A,6
Game of Thrones,92779,6,54958,7
Baldur's Gate III,74932,6,#N/A,8
Darksiders Genesis,74092,6,#N/A,9
Dark Phoenix,220595,7,110629,0
Star Wars Jedi: Fallen Order,159341,7,97668,1
Red Dead Redemption 2,107252,7,#N/A,2
George R. R. Martin,97429,7,#N/A,3
Swamp Thing,68289,7,328372,4
Destroy All Humans!,63728,7,#N/A,5
Marvel's Jessica Jones,63367,7,523797,6
Game of Thrones,49923,7,92779,7
Destroy All Humans! [2005],44778,7,#N/A,8
Lucifer,43942,7,#N/A,9
Star Wars Jedi: Fallen Order,400355,8,159341,0
Dark Phoenix,307021,8,220595,1
George R. R. Martin,92617,8,97429,2
FIFA 20,52226,8,#N/A,3
Apex Legends,48012,8,#N/A,4
Xbox Project Scarlett,41809,8,#N/A,5
Pokemon Sword,39574,8,#N/A,6
Cyberpunk 2077,39012,8,#N/A,7
Battlefield V,32231,8,#N/A,8
Game of Thrones,28728,8,49923,9
Xbox Project Scarlett,322003,9,41809,0
Cyberpunk 2077,259266,9,39012,1
Dark Phoenix,258374,9,307021,2
Loki: The Series,136233,9,#N/A,3
Star Wars Jedi: Fallen Order,132195,9,400355,4
Dragon Ball Z: Kakarot,123032,9,#N/A,5
Halo Infinite,122214,9,#N/A,6
Elden Ring,115572,9,#N/A,7
Final Fantasy VII Remake,100850,9,#N/A,8
Gears 5,97489,9,#N/A,9
Final Fantasy VII Remake,249832,10,100850,0
Marvel's Avengers,216348,10,#N/A,1
Dark Phoenix,194771,10,258374,2
Xbox Project Scarlett,145893,10,322003,3
Cyberpunk 2077,130578,10,259266,4
Doom Eternal,115422,10,#N/A,5
Gods & Monsters,105110,10,#N/A,6
Watch Dogs Legion,93794,10,#N/A,7
Gears 5,50270,10,97489,8
Dragon Ball Z: Kakarot,49091,10,123032,9
Marvel's Avengers,402226,11,216348,0
Cyberpunk 2077,380025,11,130578,1
The Legend of Zelda: Breath of the Wild 2,264823,11,#N/A,2
The Legend of Zelda: Breath of the Wild,234905,11,#N/A,3
The Legend of Zelda: Link's Awakening [Switch],182064,11,#N/A,4
Dark Phoenix,153792,11,194771,5
Final Fantasy VII Remake,125513,11,249832,6
Marvel Ultimate Alliance 3: The Black Order,100127,11,#N/A,7
Animal Crossing: New Horizons,90869,11,#N/A,8
Super Smash Bros. Ultimate,81276,11,#N/A,9
Cyberpunk 2077,264982,12,380025,0
Marvel's Avengers,234349,12,402226,1
Men in Black International,173246,12,#N/A,2
The Legend of Zelda: Breath of the Wild 2,164846,12,264823,3
Star Wars Jedi: Fallen Order,114813,12,#N/A,4
Game of Thrones,110907,12,#N/A,5
Marvel Ultimate Alliance 3: The Black Order,103110,12,100127,6
Doug Bowser,72231,12,#N/A,7
The Witcher 3: Wild Hunt,71142,12,#N/A,8
Elden Ring,68066,12,#N/A,9
Marvel's Avengers,451347,13,234349,0
Cyberpunk 2077,179531,13,264982,1
Toy Story 4,137285,13,#N/A,2
Game of Thrones,91287,13,110907,3
Call of Duty: Modern Warfare,71768,13,#N/A,4
The Witcher 3: Wild Hunt,60745,13,71142,5
Shaft [2019],58762,13,#N/A,6
Elden Ring,53580,13,68066,7
Men in Black International,46552,13,173246,8
Dragon Ball Z: Kakarot,46149,13,#N/A,9
Marvel's Avengers,459854,14,451347,0
Men in Black International,135228,14,46552,1
Cyberpunk 2077,130057,14,179531,2
Dark Phoenix,122829,14,#N/A,3
Call of Duty: Modern Warfare,78201,14,71768,4
Borderlands 3,67238,14,#N/A,5
Marvel's Jessica Jones,65563,14,#N/A,6
Doctor Sleep,63878,14,#N/A,7
Star Wars Jedi: Fallen Order,60827,14,#N/A,8
Final Fantasy VII Remake,54797,14,#N/A,9
Dark Phoenix,118753,15,122829,0
Marvel's Jessica Jones: Season 3,101187,15,#N/A,1
