name,value,year,last value,rank
Joker,336798,1,336798,0
Fire Emblem: Three Houses,236173,1,236173,1
Cyberpunk 2077,61538,1,61538,2
The Dark Crystal: Age of Resistance,49013,1,49013,3
Super Smash Bros. Ultimate,46588,1,46588,4
Avengers: Endgame,46298,1,46298,5
Star Wars: The Rise of Skywalker,45234,1,45234,6
Star Wars: The Mandalorian,32633,1,32633,7
Blair Witch,31539,1,31539,8
The Outer Worlds,30792,1,30792,9
Joker,358778,2,336798,0
Star Wars: The Mandalorian,300476,2,32633,1
Fire Emblem: Three Houses,137574,2,236173,2
Dragon's Dogma: Dark Arisen,97452,2,#N/A,3
Star Wars: The Rise of Skywalker,74415,2,45234,4
Solasta: Crown of the Magister,66047,2,#N/A,5
Avengers: Endgame,60834,2,46298,6
Grand Theft Auto: San Andreas,44056,2,#N/A,7
The Irishman,37587,2,#N/A,8
Cyberpunk 2077,33307,2,61538,9
Stephen King's IT Chapter Two,252623,3,#N/A,0
Star Wars: The Rise of Skywalker,235313,3,74415,1
Joker,189756,3,358778,2
The Batman,135687,3,#N/A,3
Star Wars: The Mandalorian,124628,3,300476,4
The Legend of Zelda: Link's Awakening,120877,3,#N/A,5
Pokemon Trading Card Game,108429,3,#N/A,6
Fire Emblem: Three Houses,85137,3,137574,7
Resident Evil Outbreak,71287,3,#N/A,8
Gears 5,51471,3,#N/A,9
Star Wars: Galaxy's Edge,879197,4,#N/A,0
Gears 5,239751,4,51471,1
Nintendo Switch,188253,4,#N/A,2
Deadly Premonition 2: A Blessing in Disguise,133867,4,#N/A,3
Star Wars: The Mandalorian,129932,4,124628,4
Star Wars: The Rise of Skywalker,107901,4,235313,5
Monster Hunter World: Iceborne,95260,4,#N/A,6
Nintendo,91134,4,#N/A,7
Pokemon Sword,80999,4,#N/A,8
Fire Emblem: Three Houses,72980,4,85137,9
Star Wars: Galaxy's Edge,430614,5,879197,0
Nintendo Switch,325188,5,188253,1
Star Wars: Age of Resistance,121659,5,#N/A,2
Deadly Premonition 2: A Blessing in Disguise,101747,5,133867,3
Pokemon Sword,89632,5,80999,4
Star Wars: The Mandalorian,80753,5,129932,5
Gears 5,78642,5,239751,6
Super Smash Bros. Ultimate,78236,5,#N/A,7
Marvel's Avengers,57250,5,#N/A,8
Nintendo,57201,5,57201,9
God of War,717457,6,#N/A,0
13 Reasons Why,294243,6,#N/A,1
Nintendo Switch,166729,6,325188,2
Call of Duty: Modern Warfare,146467,6,#N/A,3
Marvel's Black Widow,131224,6,#N/A,4
Spider-Man: Far From Home,105859,6,#N/A,5
Star Wars: Galaxy's Edge,104024,6,430614,6
