name,value,year,last value,rank
Marvel's The Punisher,184205,1,184205,0
Mortal Kombat 11,79801,1,79801,1
Crackdown 3,67279,1,67279,2
HBO,55847,1,55847,3
Apex Legends,49985,1,49985,4
Omega,48225,1,48225,5
Elimination Chamber 2019,40978,1,40978,6
Russian Doll: Season 1,40154,1,40154,7
The Batman,37478,1,37478,8
The Umbrella Academy: Season 1,34141,1,34141,9
Anthem,97270,2,34141,0
Marvel's The Punisher,80956,2,#N/A,1
Tetris 99,57528,2,184205,2
Avengers: Endgame,55774,2,#N/A,3
Call of Duty: Black Ops 4,48530,2,#N/A,4
The Umbrella Academy,47601,2,#N/A,5
Mortal Kombat 11,41594,2,#N/A,6
DC Comics,38556,2,79801,7
HBO,33037,2,#N/A,8
Russian Doll: Season 1,22435,2,55847,9
Captain Marvel,174871,3,#N/A,0
The Umbrella Academy,86579,3,47601,1
Samsung,70467,3,#N/A,2
Netflix,57291,3,#N/A,3
Logan,50980,3,#N/A,4
Red Dead Redemption 2,47842,3,#N/A,5
Dirt Rally 2.0,40743,3,#N/A,6
Tetris 99,40628,3,57528,7
Anthem,40365,3,97270,8
Return of Wolverine,34942,3,#N/A,9
Anthem,277110,4,40365,0
Reggie Fils-Aime,63313,4,#N/A,1
The Haunting of Hill House,56051,4,#N/A,2
How To Train Your Dragon: The Hidden World,41270,4,#N/A,3
The Umbrella Academy,40660,4,86579,4
Logan,36231,4,50980,5
Crackdown 3,30064,4,#N/A,6
Return of Wolverine,29560,4,34942,7
Star Wars: Episode IX,28964,4,#N/A,8
Apex Legends,27276,4,27276,9
Anthem,244888,5,277110,0
Star Wars: Episode IX,74494,5,28964,1
Microsoft,45797,5,#N/A,2
Crackdown 3,45676,5,30064,3
Stellaris,42734,5,#N/A,4
Space Jam 2,41311,5,#N/A,5
Kingdom Hearts III,40215,5,#N/A,6
Apex Legends,36994,5,27276,7
Red Dead Redemption 2,35345,5,#N/A,8
The Umbrella Academy,31668,5,31668,9
Anthem,102661,6,244888,0
Star Wars: Episode IX,70364,6,74494,1
Kingdom Hearts III,56692,6,40215,2
The Umbrella Academy,42857,6,31668,3
Black Widow,32452,6,#N/A,4
Microsoft,24047,6,45797,5
Nintendo,22351,6,#N/A,6
Apex Legends,20085,6,36994,7
Red Dead Redemption 2,19533,6,35345,8
Dark Phoenix,12079,6,#N/A,9
Academy Awards,166486,7,#N/A,0
Anthem,77201,7,102661,1
The Umbrella Academy,51827,7,42857,2
Star Wars: Episode IX,29841,7,70364,3
Black Widow,26234,7,32452,4
Kingdom Hearts III,24343,7,56692,5
Bounty,18539,7,#N/A,6
Holmes & Watson,15027,7,#N/A,7
Other,14251,7,#N/A,8
Nintendo,12433,7,22351,9
Trials Rising,65924,8,#N/A,0
Academy Awards,60288,8,166486,1
Anthem,55760,8,77201,2
Watchmen: The Series,46467,8,#N/A,3
343 Industries,37608,8,#N/A,4
Nintendo Switch,35745,8,#N/A,5
HoloLens,32535,8,#N/A,6
Star Wars: Episode IX,31201,8,29841,7
Bounty,29075,8,18539,8
The Umbrella Academy,27756,8,51827,9
Captain Marvel,80393,9,#N/A,0
Red Dead Redemption 2,80311,9,#N/A,1
Pokemon Shield,79893,9,#N/A,2
Nintendo Switch,62765,9,35745,3
Pokemon Detective Pikachu,55294,9,#N/A,4
Devotion,50294,9,#N/A,5
The Departed,35674,9,#N/A,6
Overkill's The Walking Dead,35309,9,#N/A,7
Dark Phoenix,32869,9,#N/A,8
Overwatch,25050,9,#N/A,9
Nintendo Switch,202952,10,62765,0
Pokemon Shield,130999,10,79893,1
Pokemon Sword,97342,10,#N/A,2
Mortal Kombat 11,95790,10,#N/A,3
Pokemon Detective Pikachu,49339,10,55294,4
The Witness,46732,10,#N/A,5
Anthem,32926,10,#N/A,6
Kingdom Hearts III,32073,10,#N/A,7
Metal Gear Rising: Revengeance,31558,10,#N/A,8
Fortnite,31450,10,#N/A,9
Pokemon Sword,124493,11,97342,0
Anthem,91337,11,32926,1
Game of Thrones: Season 8,81922,11,#N/A,2
Halo Infinite,67220,11,#N/A,3
Alien: Isolation,43551,11,#N/A,4
Pokemon Shield,42849,11,130999,5
Ape Out,34913,11,#N/A,6
Fortnite,30789,11,31450,7
Disney,29490,11,#N/A,8
Dark Phoenix,28744,11,#N/A,9
Pokemon Sword,97295,12,124493,0
Anthem,85911,12,91337,1
Dead or Alive 6,70259,12,#N/A,2
Apex Legends,56356,12,#N/A,3
Halo Infinite,54140,12,67220,4
Pokemon: Mewtwo Strikes Back -- Evolution,53146,12,#N/A,5
Dark Phoenix,35423,12,28744,6
Game of Thrones: Season 8,30708,12,81922,7
Alien: Isolation,23241,12,43551,8
Venom [2018],22670,12,#N/A,9
Dead or Alive 6,61005,13,70259,0
Pokemon Sword,57213,13,97295,1
Anthem,44929,13,85911,2
Dead or Alive Xtreme 2,36149,13,#N/A,3
Netflix,27424,13,#N/A,4
The Orville: Season 2,25569,13,#N/A,5
The Umbrella Academy,24441,13,#N/A,6
Other,21543,13,#N/A,7
Apex Legends,17541,13,56356,8
Pokemon Shield,16277,13,#N/A,9
The Batman,89337,14,#N/A,0
Dead or Alive Xtreme 2,37364,14,36149,1
Metal Gear Solid,34053,14,#N/A,2
Netflix,33725,14,27424,3
The Umbrella Academy,32877,14,24441,4
Anthem,30106,14,44929,5
Dead or Alive 6,27271,14,61005,6
Pokemon Sword,24394,14,57213,7
Guardians [The Walking Dead],21872,14,#N/A,8
The Orville: Season 2,18376,14,25569,9
Game of Thrones,104635,15,#N/A,0
Avengers: Endgame,95979,15,#N/A,1
Assassin's Creed Odyssey: Legacy of the First Blade: Episode 3,85669,15,#N/A,2
Anthem,82086,15,30106,3
Dungeons & Dragons,78106,15,#N/A,4
Sonic the Hedgehog: The Movie,69789,15,#N/A,5
The Batman,69110,15,89337,6
Pokemon Shield,63116,15,#N/A,7
Riverdale,47126,15,#N/A,8
Twin Peaks,37289,15,#N/A,9
Captain Marvel,353004,16,#N/A,0
Game of Thrones,247713,16,104635,1
"Morbius, the Living Vampire",93045,16,#N/A,2
Sonic the Hedgehog: The Movie,79877,16,69789,3
One-Punch Man,51618,16,#N/A,4
Turok: Dinosaur Hunter,42731,16,#N/A,5
Anthem,41035,16,82086,6
Dungeons & Dragons,39267,16,78106,7
Xbox One X,38968,16,#N/A,8
Transformers [2019],37627,16,#N/A,9
Devil May Cry 5,222421,17,#N/A,0
Days Gone,93805,17,#N/A,1
Game of Thrones: Season 8,73365,17,#N/A,2
Captain Marvel,69403,17,353004,3
Kingdom Hearts III,69231,17,#N/A,4
Arrow: Season 8,57929,17,#N/A,5
Triple Frontier,57020,17,#N/A,6
Valve,47637,17,#N/A,7
"Morbius, the Living Vampire",47361,17,93045,8
Game of Thrones,46808,17,247713,9
J.R.R. Tolkien's The Lord of the Rings Project,109347,18,#N/A,0
Anthem,100533,18,#N/A,1
Game of Thrones: Season 8,84393,18,73365,2
Game of Thrones,69462,18,46808,3
Devil May Cry 5,63966,18,222421,4
Captain Marvel,55000,18,69403,5
Shazam!,49188,18,#N/A,6
The Suicide Squad,48873,18,#N/A,7
Disney+,46793,18,#N/A,8
The Sinking City,46251,18,#N/A,9
Captain Marvel,230488,19,55000,0
Shazam!,60289,19,49188,1
Stark Raving Dad,53568,19,#N/A,2
Devil May Cry 5,51678,19,63966,3
J.R.R. Tolkien's The Lord of the Rings Project,36929,19,109347,4
Game of Thrones,32243,19,69462,5
Anthem,30526,19,100533,6
After Life,29787,19,#N/A,7
Game of Thrones: Season 8,24970,19,84393,8
Other,21645,19,#N/A,9
Captain Marvel,437721,20,230488,0
Us,113795,20,#N/A,1
Kevin Smith,72531,20,#N/A,2
Pilot [What We Do in the Shadows],37273,20,#N/A,3
Devil May Cry 5,36601,20,51678,4
Other,29608,20,21645,5
Days Gone,27651,20,#N/A,6
After Life,12853,20,29787,7
Activision Blizzard,12111,20,#N/A,8
Anthem,11277,20,30526,9
Captain Marvel,692111,21,437721,0
Us,78546,21,113795,1
Long Shot,56882,21,#N/A,2
Other,32109,21,29608,3
Fastlane 2019,25628,21,#N/A,4
Chokepoint,23655,21,#N/A,5
Devil May Cry 5,19395,21,36601,6
House on the Rock,17343,21,#N/A,7
Kevin Smith,15759,21,72531,8
Days Gone,15056,21,27651,9
Captain Marvel,279690,22,692111,0
Game of Thrones: Season 8,139118,22,#N/A,1
"Love, Death and Robots: Season 1",98956,22,#N/A,2
Tom Clancy's The Division 2,63676,22,#N/A,3
Devil May Cry 5,61709,22,19395,4
Harry Potter: Wizards Unite,50204,22,#N/A,5
Chokepoint,44133,22,23655,6
Long Shot,30528,22,56882,7
House on the Rock,28700,22,17343,8
Us,26479,22,78546,9
Captain Marvel,260210,23,279690,0
Tom Clancy's The Division 2,60234,23,63676,1
Apex Legends,57551,23,#N/A,2
"Love, Death and Robots: Season 1",49868,23,98956,3
Halo: Reach,46334,23,#N/A,4
Game of Thrones: Season 8,36292,23,139118,5
Good Boys,34563,23,#N/A,6
Lori Loughlin,31670,23,#N/A,7
Halo: The Master Chief Collection,31475,23,#N/A,8
Disney,28902,23,#N/A,9
Captain Marvel,95362,24,260210,0
Tom Clancy's The Division 2,95079,24,60234,1
One Piece: World Seeker,64047,24,#N/A,2
Left Alive,55698,24,#N/A,3
Venom,51009,24,#N/A,4
Sony Interactive Entertainment,43508,24,#N/A,5
Judgment,33905,24,#N/A,6
Shang-Chi,33004,24,#N/A,7
